Date,ShortVolume,ShortExemptVolume,TotalVolume
2018-12-07,186555.0,93.0,446841.0
2018-12-06,152659.0,366.0,501719.0
2018-12-04,192068.0,88.0,514396.0
2018-12-03,163980.0,109.0,467178.0
2018-11-30,189953.0,31.0,430766.0
2018-11-29,140061.0,52.0,360610.0
2018-11-28,224626.0,60.0,489530.0
2018-11-27,137200.0,102.0,291967.0
2018-11-26,126054.0,557.0,311551.0
2018-11-23,64740.0,37.0,150849.0
2018-11-21,130867.0,866.0,300491.0
2018-11-20,155747.0,1173.0,535458.0
2018-11-19,138116.0,232.0,516324.0
2018-11-16,166192.0,239.0,356742.0
2018-11-15,125858.0,490.0,360229.0
2018-11-14,104936.0,62.0,291771.0
2018-11-13,110816.0,587.0,285577.0
2018-11-12,110861.0,52.0,334753.0
2018-11-09,127458.0,348.0,286536.0
2018-11-08,121279.0,7.0,372771.0
2018-11-07,186682.0,18.0,429745.0
2018-11-06,126943.0,533.0,310933.0
2018-11-05,166091.0,165.0,415916.0
2018-11-02,159925.0,138.0,527338.0
2018-11-01,132994.0,87.0,367252.0
2018-10-31,330394.0,143.0,803904.0
2018-10-30,254760.0,1003.0,591880.0
2018-10-29,377697.0,954.0,880939.0
2018-10-26,548323.0,4259.0,1267502.0
2018-10-25,371907.0,35.0,755041.0
2018-10-24,186005.0,544.0,472078.0
2018-10-23,154113.0,243.0,376888.0
2018-10-22,76591.0,6.0,211523.0
2018-10-19,108648.0,42.0,380418.0
2018-10-18,128980.0,70.0,478992.0
2018-10-17,79341.0,104.0,295440.0
2018-10-16,111515.0,492.0,393295.0
2018-10-15,155978.0,172.0,358689.0
2018-10-12,215724.0,168.0,506992.0
2018-10-11,315249.0,258.0,826060.0
2018-10-10,220843.0,1076.0,685384.0
2018-10-09,130804.0,725.0,373928.0
2018-10-08,208989.0,504.0,510255.0
2018-10-05,118737.0,191.0,322260.0
2018-10-04,236504.0,696.0,494726.0
2018-10-03,83596.0,53.0,250900.0
2018-10-02,147862.0,52.0,377858.0
2018-10-01,88566.0,0.0,263017.0
2018-09-28,137465.0,500.0,304584.0
2018-09-27,145963.0,4.0,327282.0
2018-09-26,155113.0,1657.0,418117.0
2018-09-25,116523.0,15.0,314253.0
2018-09-24,99797.0,6.0,352040.0
2018-09-21,139619.0,0.0,395026.0
2018-09-20,133469.0,2502.0,310159.0
2018-09-19,95708.0,28.0,298159.0
2018-09-18,85472.0,11.0,326006.0
2018-09-17,129632.0,12.0,345415.0
2018-09-14,86873.0,6.0,262829.0
2018-09-13,166680.0,400.0,477049.0
2018-09-12,136705.0,10.0,364645.0
2018-09-11,189447.0,33.0,374162.0
2018-09-10,87079.0,19.0,278085.0
2018-09-07,175004.0,82.0,403183.0
2018-09-06,207539.0,10.0,648164.0
2018-09-05,213580.0,163.0,615772.0
2018-09-04,128393.0,535.0,516915.0
2018-08-31,144175.0,124.0,440090.0
2018-08-30,155246.0,606.0,365630.0
2018-08-29,139675.0,352.0,500164.0
2018-08-28,92244.0,12.0,303328.0
2018-08-27,121267.0,159.0,322310.0
2018-08-24,107065.0,10.0,272831.0
2018-08-23,74443.0,907.0,216699.0
2018-08-22,63208.0,187.0,266336.0
2018-08-21,106295.0,2546.0,259889.0
2018-08-20,95917.0,366.0,259940.0
2018-08-17,129891.0,496.0,386307.0
2018-08-16,106043.0,63.0,411455.0
2018-08-15,204461.0,127.0,486356.0
2018-08-14,114635.0,30.0,295872.0
2018-08-13,144367.0,62.0,300725.0
2018-08-10,116883.0,622.0,298450.0
2018-08-09,148697.0,37.0,313452.0
2018-08-08,192842.0,688.0,379090.0
2018-08-07,206333.0,84.0,535010.0
2018-08-06,79439.0,127.0,269847.0
2018-08-03,99603.0,165.0,221537.0
2018-08-02,183024.0,15.0,420135.0
2018-08-01,190880.0,247.0,421949.0
2018-07-31,153929.0,426.0,487976.0
2018-07-30,175442.0,431.0,591812.0
2018-07-27,228220.0,62.0,594473.0
2018-07-26,343985.0,1058.0,763876.0
2018-07-25,245507.0,52.0,582661.0
2018-07-24,629466.0,1863.0,1399741.0
2018-07-23,243394.0,6.0,680999.0
2018-07-20,186587.0,91.0,425746.0
2018-07-19,110243.0,59.0,312170.0
2018-07-18,215215.0,8799.0,471292.0
2018-07-17,196339.0,362.0,460192.0
2018-07-16,105021.0,807.0,341155.0
2018-07-13,136428.0,329.0,390722.0
2018-07-11,207686.0,579.0,418362.0
2018-07-10,108000.0,345.0,290355.0
2018-07-09,85600.0,249.0,244170.0
2018-07-06,94906.0,268.0,253695.0
2018-07-05,159251.0,166.0,362982.0
2018-07-03,70980.0,2.0,210243.0
2018-07-02,119306.0,19.0,326651.0
2018-06-28,142290.0,635.0,384081.0
2018-06-27,175335.0,1076.0,434598.0
2018-06-26,168784.0,109.0,374539.0
2018-06-25,279539.0,599.0,822971.0
2018-06-22,149060.0,421.0,354888.0
2018-06-21,208108.0,242.0,478195.0
2018-06-20,297473.0,264.0,700977.0
2018-06-19,210840.0,67.0,610101.0
2018-06-18,196404.0,102.0,474974.0
2018-06-15,133854.0,51.0,308783.0
2018-06-14,249587.0,0.0,498917.0
2018-06-13,188462.0,242.0,361692.0
2018-06-12,89741.0,399.0,243693.0
2018-06-11,149197.0,91.0,332644.0
2018-06-08,169248.0,45.0,321373.0
2018-06-07,194443.0,176.0,599132.0
2018-06-06,237729.0,348.0,446830.0
2018-06-05,233979.0,1273.0,410790.0
2018-06-04,449734.0,1432.0,748629.0
2018-06-01,619319.0,1413.0,894573.0
2018-05-31,451437.0,49.0,891008.0
2018-05-30,212516.0,37.0,398337.0
2018-05-29,187535.0,180.0,371553.0
2018-05-25,110060.0,1402.0,216958.0
2018-05-24,130101.0,329.0,282789.0
2018-05-23,137716.0,197.0,294987.0
2018-05-22,123842.0,236.0,231760.0
2018-05-21,162399.0,712.0,326653.0
2018-05-18,202475.0,1238.0,398308.0
2018-05-17,168553.0,14.0,289898.0
2018-05-16,166335.0,116.0,271091.0
2018-05-15,242694.0,329.0,441287.0
2018-05-14,289512.0,3.0,559975.0
2018-05-11,200647.0,1228.0,388387.0
2018-05-10,277387.0,1403.0,513174.0
2018-05-09,302983.0,654.0,545341.0
2018-05-08,166692.0,51.0,302397.0
2018-05-07,212763.0,1501.0,418454.0
2018-05-04,268960.0,116.0,520187.0
2018-05-03,199495.0,192.0,466551.0
2018-05-02,164410.0,829.0,347081.0
2018-05-01,269811.0,253.0,461556.0
2018-04-30,173616.0,874.0,317564.0
2018-04-27,301968.0,1174.0,536943.0
2018-04-26,288283.0,102.0,608976.0
2018-04-25,373328.0,264.0,775612.0
2018-04-24,1018410.0,301.0,1847782.0
2018-04-23,384325.0,384.0,748175.0
2018-04-20,250623.0,863.0,508837.0
2018-04-19,257770.0,135.0,422347.0
2018-04-18,171876.0,133.0,376039.0
2018-04-17,293762.0,56.0,564848.0
2018-04-16,118609.0,160.0,270219.0
2018-04-13,126488.0,76.0,285201.0
2018-04-12,166425.0,131.0,379803.0
2018-04-11,222814.0,123.0,422270.0
2018-04-10,238056.0,406.0,440420.0
2018-04-09,191738.0,713.0,382492.0
2018-04-06,245529.0,489.0,473067.0
2018-04-05,205688.0,204.0,453864.0
2018-04-04,335478.0,565.0,594292.0
2018-04-03,360850.0,2434.0,889937.0
2018-04-02,435563.0,2502.0,884125.0
2018-03-29,419868.0,5314.0,807256.0
2018-03-28,504749.0,319.0,962483.0
2018-03-27,395548.0,1654.0,780736.0
2018-03-26,384620.0,525.0,920530.0
2018-03-23,307210.0,2451.0,603188.0
2018-03-22,412023.0,1754.0,953488.0
2018-03-21,229939.0,327.0,477844.0
2018-03-20,365408.0,172.0,752173.0
2018-03-19,402188.0,1268.0,847872.0
2018-03-16,254096.0,448.0,471580.0
2018-03-15,197824.0,1384.0,385637.0
2018-03-14,243886.0,1192.0,484082.0
2018-03-13,259263.0,789.0,517442.0
2018-03-12,225629.0,358.0,465169.0
2018-03-09,226785.0,1035.0,459325.0
2018-03-08,167098.0,973.0,303785.0
2018-03-07,171038.0,248.0,318733.0
2018-03-06,129530.0,158.0,252887.0
2018-03-05,172659.0,2166.0,330571.0
2018-03-02,293959.0,1322.0,642403.0
2018-03-01,220478.0,397.0,655078.0
2018-02-28,236474.0,91.0,507240.0
2018-02-27,222761.0,313.0,490260.0
2018-02-26,163795.0,907.0,380145.0
2018-02-23,129882.0,237.0,246832.0
2018-02-22,133136.0,915.0,272118.0
2018-02-21,337350.0,595.0,639279.0
2018-02-20,159955.0,443.0,363461.0
2018-02-16,208394.0,508.0,477045.0
2018-02-15,214751.0,442.0,463225.0
2018-02-14,196436.0,382.0,419099.0
2018-02-13,131899.0,79.0,308473.0
2018-02-12,196195.0,305.0,573601.0
2018-02-09,500243.0,2161.0,1333747.0
2018-02-08,302598.0,2983.0,807640.0
2018-02-07,215365.0,209.0,691318.0
2018-02-06,362485.0,4011.0,1019815.0
2018-02-05,356916.0,4477.0,1094758.0
2018-02-02,664506.0,1486.0,1581488.0
2018-02-01,207691.0,512.0,562927.0
2018-01-31,103593.0,34.0,336664.0
2018-01-30,106410.0,98.0,322316.0
2018-01-29,155453.0,92.0,378567.0
2018-01-26,150270.0,281.0,485514.0
2018-01-25,157234.0,337.0,405289.0
2018-01-24,156219.0,3454.0,429680.0
2018-01-23,164841.0,207.0,405015.0
2018-01-22,133427.0,752.0,417296.0
2018-01-19,76897.0,276.0,267649.0
2018-01-18,88516.0,1712.0,310726.0
2018-01-17,81315.0,372.0,323784.0
2018-01-16,181307.0,1490.0,456637.0
2018-01-12,216544.0,561.0,564933.0
2018-01-11,71912.0,995.0,290790.0
2018-01-10,87548.0,291.0,257564.0
2018-01-09,145721.0,475.0,323589.0
2018-01-08,133285.0,172.0,325936.0
2018-01-05,153537.0,102.0,426774.0
2018-01-04,119409.0,188.0,329374.0
2018-01-03,174542.0,239.0,442587.0
2018-01-02,96299.0,409.0,360527.0
2017-12-29,78363.0,854.0,211468.0
2017-12-28,86578.0,528.0,207790.0
2017-12-27,71267.0,1170.0,216765.0
2017-12-26,76011.0,269.0,265055.0
2017-12-22,77944.0,687.0,189973.0
2017-12-21,102526.0,850.0,313610.0
2017-12-20,124543.0,93.0,339378.0
2017-12-19,104690.0,1623.0,358306.0
2017-12-18,133361.0,1277.0,357763.0
2017-12-15,242411.0,632.0,547140.0
2017-12-14,122715.0,154.0,406830.0
2017-12-13,83073.0,4399.0,312676.0
2017-12-12,144872.0,4.0,440862.0
2017-12-11,69048.0,116.0,212059.0
2017-12-08,107284.0,539.0,314420.0
2017-12-07,156308.0,449.0,384422.0
2017-12-06,110335.0,234.0,337140.0
2017-12-05,219618.0,432.0,542107.0
2017-12-04,180607.0,6460.0,566919.0
2017-11-30,120390.0,160.0,433041.0
2017-11-29,316897.0,1437.0,730244.0
2017-11-28,214594.0,1498.0,475799.0
2017-11-27,249640.0,2918.0,435919.0
2017-11-24,139944.0,845.0,320898.0
2017-11-22,116584.0,629.0,222000.0
2017-11-21,145816.0,5409.0,274779.0
2017-11-20,74446.0,3183.0,200042.0
2017-11-17,93362.0,1892.0,279816.0
